,author,author_link,text,date,likes,comments,shares,theme
10,Benjamin Ejzenberg,https://www.linkedin.com/in/benjaminejzenberg?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAj58zYBTN8loEzvrFJhh-16iFZ8gnfPSGU,🪄 Vous souhaitez impressionner vos utilisateurs avec des visuels dynamiques et percutants dans Power BI ? Consultez mon nouveau tutoriel guidé pas à pas.,2024-11-26 12:00:00,147,14,5,tutoriel
11,Emerit Science,https://www.linkedin.com/company/emerit-science/posts,"🚀 Nouvel Article de Blog ! 🚀Découvrez Charlie d’Emerit Science : Votre Solution pour Simplifier la Recherche Scientifique 🧬🔍Nous sommes ravis de partager notre tout dernier article de blog qui explore comment Charlie, notre assistant IA innovant, transforme la recherche en sciences du vivant en automatisant l'analyse des données et en réduisant le temps de revue littéraire jusqu'à 50%. 🌟Mais ce n'est pas tout ! 🎉 Nous lançons également une nouvelle série sur YouTube et podcast pour vous offrir des contenus exclusifs, des interviews avec des experts et des démonstrations en direct de Charlie en action.📅 À venir :YouTube : Tutoriels, études de cas et webinaires interactifs.Podcast : Discussions approfondies avec des leaders du secteur et des utilisateurs de Charlie.Ne manquez pas ces opportunités pour optimiser vos processus de recherche et rester à la pointe de l'innovation scientifique. Abonnez-vous dès maintenant et suivez-nous pour toutes les mises à jour ! 📈🔗👉 Lire l'article : https://lnkd.in/eaYRGxAThashtag#EmeritScience hashtag#CharlieAI hashtag#RechercheScientifique hashtag#Innovation hashtag#YouTube hashtag#Podcast hashtag#Cybersécurité hashtag#DataSovereigntyEnglish Version🚀 New Blog Post Alert! 🚀Discover Charlie by Emerit Science: Your Solution to Simplify Scientific Research 🧬🔍We are excited to share our latest blog post that delves into how Charlie, our innovative AI assistant, is transforming life sciences research by automating data analysis and reducing literature review time up to 50%. 🌟But that’s not all! 🎉 We are also launching a new series on YouTube and podcast to bring you exclusive content, expert interviews, and live demonstrations of Charlie in action.📅 Coming Soon:YouTube: Tutorials, case studies, and interactive webinars.Podcast: In-depth discussions with industry leaders and Charlie users.Don’t miss these opportunities to optimize your research processes and stay at the forefront of scientific innovation. Subscribe now and follow us for all the updates! 📈🔗👉 Read the Blog: https://lnkd.in/epgFwXhkhashtag#EmeritScience hashtag#CharlieAI hashtag#ScientificResearch hashtag#Innovation hashtag#YouTube hashtag#Podcast hashtag#Cybersecurity hashtag#DataSovereignty",2025-01-25 12:00:00,14,0,4,tutoriel
12,Blockchain Addict,https://www.linkedin.com/in/blockchain-addict-70095a272?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAEK0aHABz7vRvJ6oDSPxillMlaYEiJ21F9E,Acheter l’espace publicitaire tokenisé Blockchain Addict sur Siborg Ads : Le tutoriel complet !,2024-12-26 12:00:00,3,0,2,tutoriel
13,JustGeek,https://www.linkedin.com/company/justgeek/posts,🖥️ Comment rejoindre le programme Windows Insider de Microsoft👉 https://lnkd.in/epR4W5_ghashtag#Tutoriel hashtag#Windows hashtag#Insider hashtag#Programme hashtag#Microsoft,2024-12-26 12:00:00,1,0,0,tutoriel
14,Benjamin Ejzenberg,https://www.linkedin.com/in/benjaminejzenberg?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAj58zYBTN8loEzvrFJhh-16iFZ8gnfPSGU,"💡 Rendez vos tableaux Power BI plus impactants avec des badges visuels dynamiques !Vous avez déjà rêvé d’ajouter un système de statuts clair et visuel à vos tableaux dans Power BI ? 🎨 Avec ces badges inspirés du design web, chaque ligne devient bien plus intuitive et engageante pour vos utilisateurs.👋🏼 Dites-moi en commentaire ce que vous en pensez ! Et si vous êtes partant pour un tutoriel plus détaillé, faites-le moi savoir également 👇🏼hashtag#DataWithBen",2024-11-26 12:00:00,216,35,13,tutoriel
15,Abel Tagne,https://www.linkedin.com/in/abel-tagne-a748071b7?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADJ8xTgBU-gelYfhEGAoFKzRMcPN791rR6c,04 APPLICATIONS MOBILES PUISSANTES POUR ARCHITECTEShashtag#architecture hashtag#ingenierie hashtag#BTP hashtag#construction hashtag#outilsdigitaux hashtag#applicationsmobiles hashtag#productivite hashtag#chantier hashtag#innovation hashtag#tech hashtag#tutoriel,2025-03-26 12:00:00,1,0,0,tutoriel
16,Agnès LAGE,https://www.linkedin.com/in/agn%C3%A8slage?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABrHOzMBdcwZI3iJVNMoeSI3eI0N9dS-PyQ,"🎯 Dans ce tutoriel Microsoft Word https://lnkd.in/epCFYM8G je vous montre 𝗰𝗼𝗺𝗺𝗲𝗻𝘁 𝗶𝗻𝘀𝗲́𝗿𝗲𝗿 𝗱𝗲𝘀 𝗻𝘂𝗺𝗲́𝗿𝗼𝘀 𝗱𝗲 𝗽𝗮𝗴𝗲𝘀 𝗮𝗹𝘁𝗲𝗿𝗻𝗲́𝘀 avec les numéros pairs à gauche et impairs à droite.✅ Cette présentation 𝗱𝗼𝗻𝗻𝗲𝗿𝗮 𝗮̀ 𝘃𝗼𝘀 𝗱𝗼𝗰𝘂𝗺𝗲𝗻𝘁𝘀 𝘂𝗻 𝘀𝘁𝘆𝗹𝗲 𝗽𝗿𝗼𝗳𝗲𝘀𝘀𝗶𝗼𝗻𝗻𝗲𝗹, idéal pour vos rapports 📚 , les thèses 🎓, ou même un livre sur Word 📖 .💡 Vous allez découvrir que c'est vraiment 𝘁𝗿𝗲̀𝘀 𝗳𝗮𝗰𝗶𝗹𝗲 𝗱'𝗶𝗻𝘀𝗲́𝗿𝗲𝗿 𝘂𝗻𝗲 𝗻𝘂𝗺𝗲́𝗿𝗼𝘁𝗮𝘁𝗶𝗼𝗻 𝗱𝗲𝘀 𝗽𝗮𝗴𝗲𝘀 𝗮𝗹𝘁𝗲𝗿𝗻𝗲́𝗲 !hashtag#microsoftword hashtag#tutoriel hashtag#word hashtag#numeros hashtag#page hashtag#pagenumber hashtag#astuce hashtag#miseenpageword hashtag#word365 hashtag#bureautique hashtag#apprendreword hashtag#learnword hashtag#formationword hashtag#worddébutant hashtag#PagesPairsEtImpairs hashtag#numérotationlivreword hashtag#formation",2025-03-26 12:00:00,9,3,3,tutoriel
17,Benjamin Ejzenberg,https://www.linkedin.com/in/benjaminejzenberg?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAj58zYBTN8loEzvrFJhh-16iFZ8gnfPSGU,"💡 Je publie demain ce nouveau tutoriel (une astuce magique)Une technique ultra-efficace pour rendre vos rapports plus dynamiques et intuitifs. Un seul clic et vos utilisateurs peuvent basculer d’un indicateur à un autre, sans complexifier l'interface ni surcharger les visuels. 👋🏼 Est-ce que vous êtes intéressés par les tuto dataviz ?Laissez un commentaire juste en dessous pour me le faire savoir 😊🔥 Je vous mets le lien de ma chaîne en commentaire, le tuto y sera ajouté demain !_____Ici Benjamin Ejzenberg 🖐🏼 votre coach data ! Vous voulez monter en compétence sur Power BI ? Visitez mon profil pour découvrir une multitude de ressources. Et pour ne rien rater, assurez-vous d'activer les notifications pour mes publications🔔 sur mon profil.hashtag#DataWithBen",2025-02-24 12:00:00,148,40,6,tutoriel
18,JustGeek,https://www.linkedin.com/company/justgeek/posts,🖥️ Créer un fichier Batch (.bat ou .cmd) sous Windows👉 https://lnkd.in/edDAMYffhashtag#Tutoriel hashtag#Windows hashtag#Script hashtag#Batch,2025-02-24 12:00:00,1,0,0,tutoriel
19,Mamadi Kaba,https://www.linkedin.com/in/mamadi-kaba-ai-devops-fullstack?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAACib0EAB4TbNYc4N_kBKGnUzTz92MvOgCts,"3 Steps to Automate Viral Content Creation (Free Template Available!)In 2025, AI + Automation = Unstoppable Growth“Last month, One of my partners generated 1,2M+ views using this AI-powered system. Now I’m giving you the blueprint FOR FREE.”1️⃣ The Problem“Manually analyzing 1000s of Reels? 😴 Stop wasting time guessing what works.”2️⃣ The AI SolutionThe system automates:✅ Trend Discovery: Pulls top-performing Reels from ANY niche via Airtable + n8n✅ AI Breakdown: Gemini AI dissects hooks, scripts, and patterns in <30 sec✅ 1-Click Workflow: Replicate winning formulas with pre-built templates3️⃣ Free Gift (👇)↓ STEAL MY TEMPLATE ↓“Tag 3 creators who NEED this”“ Connect, Like for MORE!”“💬 Comment ‘AUTOMATE’ for tutorial video”------------------------------------------------------------------------------------3 Étapes pour Automatiser la Création de Contenu Viral (Modèle Gratuit !)En 2025, IA + Automatisation = Croissance Explosive“Le mois dernier, ce système a généré 1,2M+ de vues pour un client. Je vous offre maintenant la méthode COMPLÈTE.”1️⃣ Le Problème“Analyser manuellement des milliers de Reels ? 😴 Arrêtez de perdre du temps.”2️⃣ La Solution IALe système automatise :✅ Détection de Tendances : Récupère les Reels les plus performants via Airtable + n8n✅ Analyse IA : Gemini AI décode les accroches et scripts en <30 sec✅ Workflow Clé-en-Main : Modèles pré-construits pour répliquer les succès3️⃣ Cadeau Gratuit (👇)↓ VOLER MON MODÈLE “Taggez 3 créateurs qui ont BESOIN de ça”“Connecter, Aimer pour voir plus !”“💬 Commentez ‘AUTOMATISER’ pour le tutoriel”",2025-03-26 12:00:00,4,0,0,tutoriel
20,Académie du Chocolat de Montréal,https://www.linkedin.com/company/chocolate-academy-montreal/posts,"🍫 Transform Your Bonbons with Expert Techniques!Ready to elevate your chocolate creations? Learn how to: ✨ Decorate with STENCILS for precise, eye-catching patterns ✨ Add flair to bonbons using TRANSFER SHEETS ✨ Master finishes with COLORS 👩‍🍳 Watch the full tutorials on our website and discover the secrets to professional-looking bonbons. 🖤 Sign up for a free Chocolate Academy account to access these videos and explore a treasure trove of chocolate-making tips and tricks! bit.ly/4jKTlGS🍫 Transformez vos chocolats fins avec des techniques d’expert ! Prêt à sublimer vos créations chocolatées ? Apprenez à : ✨ Décorer avec des pochoirs pour des motifs précis et captivants ✨ Apporter une touche d’élégance grâce de simples astuces✨ Maîtriser les finitions et bien plus👩‍🍳 Regardez les tutoriels complets sur notre site web et découvrez les secrets pour des chocolats fins dignes d’un professionnel. 🖤 Inscrivez-vous gratuitement à votre compte *Chocolate Academy* pour accéder à ces vidéos et à une multitude d’astuces et techniques chocolatées ! bit.ly/4jKTlGSBarry Callebaut Grouphashtag#ChocolateAcademy hashtag#DécorationBonbons hashtag#ArtDuChocolat",2025-02-24 12:00:00,7,0,0,tutoriel
21,Djedje Laurent Narcisse BAHI,https://www.linkedin.com/in/djedje-laurent-narcisse-bahi-14172b65?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA3P0QEBDS9XcnT-vRnmjyXRmVWYd_FVXWo,Partie 2 : FINALISATION DU MODULE DE GESTION DES ADHESIONS DES MEMBRES | Excel VBA formation Tuto : https://lnkd.in/emzvYZ_Bhashtag#Excel hashtag#VBA hashtag#Formation hashtag#Tutoriel,2024-10-27 12:00:00,1,0,0,tutoriel
22,Alizèta Malam,https://www.linkedin.com/in/aliz%C3%A8ta-malam-37384a104?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABp3KYcBx_tLLhoYD0hV137oyntB-5h-3AU,"Cher réseau , J’ai eu l’honneur de collaborer avec GUELYA SARL dans le cadre du projet DICIPLINE, en tant que chargée de tutoriels et de documentation pour la plateforme. Mon rôle a consisté à concevoir des vidéos explicatives, détaillant l’utilisation des différentes fonctionnalités de Dicipline, afin de faciliter la prise en main par les utilisateurs.Pour rappel, DICIPLINE (Dispositif Intégré et Communautaire d'Innovation Participative et Libre pour les Institutions Nationales d'Enseignement) est une plateforme open source dédiée à la gestion des établissements d’enseignement. Elle offre des solutions innovantes pour optimiser les processus administratifs et pédagogiques .Le lancement officiel de Dicipline a eu lieu hier, le 5 décembre, sous le patronage du Ministre de la Transition Digitale, marquant une étape majeure pour la transformation numérique dans le secteur éducatif.Merci au promoteur GUETIKILA Daouda pour la confiance renouvelée !Dear network, I had the honor of collaborating with GUELYA SARL as part of the DICIPLINE project, as manager of tutorials and documentation for the platform. My role consisted of designing explanatory videos, detailing the use of the different features of Dicipline, in order to make it easier for users to get started.As a reminder, DICIPLINE (Integrated and Community System for Participatory and Free Innovation for National Educational Institutions) is an open source platform dedicated to the management of educational establishments. It offers innovative solutions to optimize administrative and educational processes.The official launch of Discipline took place yesterday, December 5, under the patronage of the Minister of Digital Transition, marking a major step for digital transformation in the education sector.Thanks to promoter GUETIKILA Daouda for the renewed confidence!",2024-12-26 12:00:00,42,3,0,tutoriel
23,JustGeek,https://www.linkedin.com/company/justgeek/posts,📺 Free vous offre le bouquet Famille by CANAL : Voici comment l’activer !👉 https://lnkd.in/e2AH-CCbhashtag#Free hashtag#FamilleByCANAL hashtag#Freebox hashtag#Tutoriel,2024-11-26 12:00:00,1,0,0,tutoriel
24,Benjamin Ejzenberg,https://www.linkedin.com/in/benjaminejzenberg?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAj58zYBTN8loEzvrFJhh-16iFZ8gnfPSGU,"🎉 NOUVEAU TUTORIEL : Les moyennes mobiles dans Power BIEnvie de lisser vos courbes et de mieux analyser vos données ? Je viens de publier un tutoriel rapide (moins de 10 minutes !) pour vous apprendre à intégrer une moyenne mobile dans Power BI.📂 Bonus : Le fichier Power BI est fourni pour que vous puissiez pratiquer directement et mettre vos nouvelles compétences en action.Ce type de contenu vous intéresse ?Dites-moi en commentaire si vous voulez voir plus de tutoriels comme celui-ci ou des sujets spécifiques à explorer.🎥 Rendez-vous dans la vidéo pour apprendre et progresser 👉🏼 https://lnkd.in/dyEQQr2j_____Ici Benjamin Ejzenberg 🖐🏼 votre coach data ! Vous voulez monter en compétence sur Power BI ? Visitez mon profil pour découvrir une multitude de ressources. Et pour ne rien rater, assurez-vous d'activer les notifications pour mes publications🔔 sur mon profil.hashtag#PowerBI hashtag#BusinessIntelligence hashtag#DataWithBen",2025-01-25 12:00:00,62,2,1,tutoriel
25,Carnot Télécom & Société numérique,https://www.linkedin.com/company/carnot-tsn/posts,💡Nos chercheurs et co-fondateurs de SHIFT89 sont présents sur le stand 2k61 pour vous faire découvrir leur technologie de formation en réalité augmentée ! 💡Our researchers and co-founders from SHIFT89 are still on stand 2k61 to show you their augmented reality training technology!Carnot Télécom & Société numérique Le Réseau des Carnot ANR (Agence nationale de la recherche) Institut Mines-Télécom (IMT) Traian LAVRIC Emmanuel Pit Bricard 😎 Victor Dalmar hashtag#recherche hashtag#vr hashtag#tutoriel hashtag#machines hashtag#industrie hashtag#casque hashtag#démonstration GLOBAL INDUSTRIE,2025-03-26 12:00:00,23,0,5,tutoriel
26,Céline Vinuesa,https://www.linkedin.com/in/c%C3%A9line-vinuesa-3b612b10a?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABttWnoBuvMqxLCd0aDllwDrslqMOcFBC4g,"🚀 I AU CUBE Ingenierie & Formation c’est : ✔︎ 18 ans d'expérience en sûreté de fonctionnement (formations, audits, conseil et études) dans de nombreux domaines d’activité​✔︎ Une parfaite connaissance des logiciels de modélisation et des méthodes (création des tutoriels pour la suite logicielle GRIF* de TotalEnergies)​✔︎ Participation à des congrès, séminaires et groupes de travail, recherche bibliographique dans le but de rester informés des évolutions. Partenaire officiel des formations GRIF pour TotalEnergies en français et en anglais, nos formations sont certifiées Qualiopi. En savoir plus : https://lnkd.in/eqsqvNTx *GRIF est une marque enregistrée détenue par TotalEnergies Industry Solutions et utilisée sous licence.———🚀 I AU CUBE Ingenierie & Formation is :✔︎  18 years' experience in operational safety (training, audits, consultancy and studies) in a wide range of fields✔︎ Perfect knowledge of modelling software and methods (creation of tutorials for the TotalEnergies GRIF* software suite)✔︎  Participation in conferences, seminars and working groups, bibliographical research with the aim of keeping abreast of developments. An official GRIF training partner for TotalEnergies in French and English, our training courses are Qualiopi-certified.For more information: https://lnkd.in/eqsqvNTx*GRIF is a registered trademark owned by TotalEnergies Industry Solutions and used under licence.",2025-02-24 12:00:00,15,0,1,tutoriel
27,Benjamin Ejzenberg,https://www.linkedin.com/in/benjaminejzenberg?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAj58zYBTN8loEzvrFJhh-16iFZ8gnfPSGU,"📊 Le Système de Bascule Incontournable sur Power BI (tutoriel vidéo)Voici une astuce ultra-efficace pour rendre vos rapports plus dynamiques et intuitifs. Un seul clic et vos utilisateurs peuvent basculer d’un indicateur à un autre, sans complexifier l'interface ni surcharger les visuels. 💾 Je vous partage le tutoriel vidéo complet en commentaires.Qu'en pensez-vous ? Intéressé(e) par ce genre de tutos ?Avez-vous déjà testé cette technique ? Je suis curieux d’avoir vos retours !_____Ici Benjamin Ejzenberg, spécialiste Power BI et Microsoft MVP 🖐🏼 Si vous souhaitez booster votre carrière et transformer vos tableaux de bord Power BI en véritables outils de décision, contactez-moi en message privé !hashtag#DataWithBen",2025-03-26 12:00:00,271,28,11,tutoriel
28,JustGeek,https://www.linkedin.com/company/justgeek/posts,"📱 iPhone : comment installer Aptoide, le magasin d’apps alternatif👉 https://lnkd.in/etuGtVpuhashtag#iPhone hashtag#Tutoriel hashtag#Aptoide hashtag#Magasin hashtag#Applications",2025-02-24 12:00:00,1,0,0,tutoriel
29,Agora,https://www.linkedin.com/company/agoracharge/posts,Check out our videos on how to charge on different networks with your prefered compatible app. ⚡🔌🚗💡 Our videos were created to guide you through an easy charging session. https://lnkd.in/dRf-FCxzhashtag#EVCharging hashtag#ChargingNetworks hashtag#ElectricVehicle hashtag#ChargingTutorial hashtag#EVRoaming hashtag#EVTips-----------------Découvrez nos vidéos pour apprendre à recharger sur différents réseaux avec l'app compatible de votre choix.⚡🔌🚗💡 Nos tutoriels vous guident pour une session de recharge simple et efficace. https://lnkd.in/dRf-FCxz hashtag#RechargeÉlectrique hashtag#BornesDeRecharge hashtag#RéseauxDeRecharge hashtag#TutorielRecharge hashtag#VoitureÉlectrique hashtag#VE,2024-10-27 12:00:00,4,0,0,tutoriel
